title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re J.D.-0174,United States,Illinois,2022,Cook County Juvenile Court,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a retail store. No prior delinquency history.,robbery incident at retail store; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
Matter of Youth-0177,United States,Pennsylvania,2020,Philadelphia Family Court,burglary,15-17,Break-in at a public park; 16-year-old suspect identified. First contact with juvenile court.,burglary matter involving 15-17 juvenile in Pennsylvania.,Probation 12 months; community service.,https://www.courtlistener.com/
State v. Minor-0233,United States,Virginia,2023,Fairfax Juvenile Court,harassment,15-17,15-year-old sent repeated threatening messages to peer via WhatsApp. First contact with juvenile court.,Juvenile harassment case with no prior record in Virginia.,Restitution; informal probation.,https://www.courtlistener.com/
State v. Minor-0259,United States,Washington,2020,King County Juvenile Court,trespass,under 14,Unauthorized entry to a neighbor's garage by 13-year-old. One prior warning only.,Juvenile trespass case with limited history in Washington.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Y-0802 (Youth),United Kingdom,Scotland,2024,Sheriff Court Glasgow,drug possession,under 14,13-year-old found with inhalants at a retail store. First offense.,drug possession matter involving under 14 juvenile in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0828 (Child),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,harassment,15-17,Bullying complaint: 16-year-old harassed classmate at a community center. No prior record.,harassment matter involving 15-17 juvenile in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0673 (Youth),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,arson,under 14,13-year-old set fire to playground equipment at a recreation center. Minimal damage. One prior warning only.,arson incident at recreation center; minor in under 14 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0790 (Child),United Kingdom,Scotland,2018,Sheriff Court Edinburgh,trespass,under 14,14-year-old entered restricted a transit station after hours. No prior delinquency history.,Juvenile trespass case with no prior record in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0658 (Child),United Kingdom,Wales,2018,Youth Court Cardiff,runaway,15-17,Runaway minor located after seven days; Reunification assessment ordered. One prior warning only.,runaway incident at recreation center; minor in 15-17 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0163,United States,North Carolina,2023,Mecklenburg Juvenile Court,shoplifting,15-17,Minor stole a bicycle from a local shop; apprehended by security. No prior delinquency history.,shoplifting incident at local shop; minor in 15-17 age group.,Restitution; informal probation.,https://www.courtlistener.com/
In re Minor 0584,India,Bihar,2023,JJ Board Patna,robbery,15-17,17-year-old took sporting goods from peer at a retail store using physical force. No prior delinquency history.,robbery matter involving 15-17 juvenile in Bihar.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor 0350,India,Telangana,2020,JJ Board Hyderabad,arson,under 14,Fire incident at a neighbor's garage; 13-year-old admitted involvement. No prior delinquency history.,arson matter involving under 14 juvenile in Telangana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Minor 0607,United Kingdom,England,2024,Youth Court Bristol,vandalism,15-17,15-year-old damaged lockers at a recreation center. No prior delinquency history.,vandalism matter involving 15-17 juvenile in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re Child 0578,India,Uttar Pradesh,2021,JJ Board Lucknow,runaway,under 14,Runaway minor located after two days; Reunification assessment ordered. First offense.,Juvenile runaway case with no prior record in Uttar Pradesh.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0872 (Youth),United Kingdom,England,2024,Youth Court Manchester,assault,15-17,School altercation: 16-year-old struck another student at a local shop. No prior record.,Juvenile assault case with no prior record in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0766 (Child),United Kingdom,Wales,2024,Youth Court Swansea,arson,under 14,Fire incident at a transit station; 14-year-old admitted involvement. No prior delinquency history.,Juvenile arson case with no prior record in Wales.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0556),India,Tamil Nadu,2022,JJ Board Chennai,vandalism,under 14,13-year-old damaged a bench at a retail store. First contact with juvenile court.,Juvenile vandalism case with no prior record in Tamil Nadu.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
Matter of Youth-0068,United States,Michigan,2023,Wayne County Juvenile Court,assault,under 14,14-year-old involved in a retail store fight causing no serious injury to peer. No weapon.,assault matter involving under 14 juvenile in Michigan.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Child 0316,India,Bihar,2022,JJ Board Patna,truancy,under 14,Habitual truancy petition for 14-year-old failing to attend a transit station. One prior warning only.,truancy incident at transit station; minor in under 14 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re J.D.-0145,United States,Ohio,2023,Cuyahoga County Juvenile Court,assault,under 14,School altercation: 14-year-old struck another student at a public park. First contact with juvenile court.,Juvenile assault case with no prior record in Ohio.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re Child 0491,India,Tamil Nadu,2018,JJ Board Chennai,robbery,15-17,17-year-old took snacks from peer at a recreation center using physical force. No prior record.,robbery matter involving 15-17 juvenile in Tamil Nadu.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Minor 0553,India,Telangana,2019,JJ Board Hyderabad,drug possession,under 14,14-year-old found with marijuana at a transit station. No prior delinquency history.,drug possession incident at transit station; minor in under 14 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Child 0398,India,Odisha,2021,JJ Board Bhubaneswar,truancy,15-17,Habitual truancy petition for 16-year-old failing to attend a recreation center. No prior record.,Juvenile truancy case with no prior record in Odisha.,Community service; probation.,https://services.ecourts.gov.in/
R v. Minor 0605,United Kingdom,England,2024,Youth Court Leeds,vandalism,under 14,Minor spray-painted playground equipment; identified via surveillance at a transit station. No prior record.,vandalism incident at transit station; minor in under 14 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0714 (Youth),United Kingdom,Northern Ireland,2018,Youth Court Belfast,harassment,under 14,Bullying complaint: 13-year-old harassed classmate at school. No prior delinquency history.,harassment incident at school; minor in under 14 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0344),India,Punjab,2018,JJ Board Chandigarh,theft,15-17,16-year-old stole clothing from a neighbor's garage. No prior record.,Juvenile theft case with no prior record in Punjab.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
State v. Minor-0038,United States,Florida,2020,Miami-Dade Juvenile Court,cybercrime,15-17,15-year-old circulated exam answers digitally at a retail store. No financial gain. First contact with juvenile court.,Juvenile cybercrime case with no prior record in Florida.,Restitution; informal probation.,https://www.courtlistener.com/
In re J.D.-0010,United States,Washington,2022,King County Juvenile Court,robbery,15-17,15-year-old took a bicycle from peer at a recreation center using implied force. First offense.,robbery matter involving 15-17 juvenile in Washington.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Y-0881 (Youth),United Kingdom,England,2019,Youth Court Manchester,burglary,under 14,13-year-old entered a retail store without permission and took a mobile phone. First contact with juvenile court.,burglary incident at retail store; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0392,India,Karnataka,2021,JJ Board Bengaluru,theft,under 14,Theft reported: 13-year-old took school supplies belonging to another at a transit station. No prior record.,theft incident at transit station; minor in under 14 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0309,India,Haryana,2019,JJ Board Gurugram,truancy,15-17,16-year-old chronically absent from a transit station; 40 unexcused days. No prior record.,truancy matter involving 15-17 juvenile in Haryana.,Community service; probation.,https://services.ecourts.gov.in/
R v. Minor 0753,United Kingdom,England,2022,Youth Court Birmingham,theft,under 14,13-year-old stole electronics from a community center. First offense.,theft matter involving under 14 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0750,United Kingdom,Wales,2018,Youth Court Swansea,runaway,15-17,15-year-old left home and found at a recreation center. Reunification assessment ordered. No prior record.,Juvenile runaway case with no prior record in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0764 (Youth),United Kingdom,England,2021,Youth Court London,theft,15-17,Theft reported: 17-year-old took clothing belonging to another at a public park. First contact with juvenile court.,theft incident at public park; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0298,United States,Texas,2021,Harris County Juvenile Court,weapon possession,15-17,Security search at a transit station revealed pepper spray in 17-year-old's bag. One prior warning only.,weapon possession incident at transit station; minor in 15-17 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
X v. State (JJ-0443),India,Maharashtra,2018,Juvenile Justice Board Mumbai,weapon possession,15-17,Security search at a community center revealed a metal pipe in 15-year-old's bag. No prior delinquency history.,weapon possession matter involving 15-17 juvenile in Maharashtra.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Child 0480,India,Telangana,2023,JJ Board Hyderabad,truancy,15-17,Habitual truancy petition for 17-year-old failing to attend a recreation center. First contact with juvenile court.,Juvenile truancy case with no prior record in Telangana.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Minor 0809,United Kingdom,England,2022,Youth Court London,assault,under 14,14-year-old involved in a retail store fight causing no serious injury to peer. No weapon.,assault matter involving under 14 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0317,India,Gujarat,2022,JJ Board Ahmedabad,harassment,15-17,15-year-old sent repeated threatening messages to peer via Instagram. First contact with juvenile court.,Juvenile harassment case with no prior record in Gujarat.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0562),India,Rajasthan,2019,JJ Board Jaipur,theft,15-17,17-year-old stole electronics from a retail store. No prior record.,theft matter involving 15-17 juvenile in Rajasthan.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
State v. Minor-0120,United States,Massachusetts,2023,Suffolk Juvenile Court,runaway,15-17,Runaway minor located after seven days; Reunification assessment ordered. One prior warning only.,runaway incident at public park; minor in 15-17 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re J.D.-0115,United States,Washington,2022,King County Juvenile Court,runaway,15-17,Runaway minor located after seven days; Family conflict reported. First contact with juvenile court.,runaway incident at retail store; minor in 15-17 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
In re Child 0356,India,Uttar Pradesh,2023,JJ Board Lucknow,drug possession,15-17,Minor discovered carrying alcohol during a recreation center search. First offense.,drug possession incident at recreation center; minor in 15-17 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Child 0303,India,West Bengal,2024,JJ Board Kolkata,drug possession,under 14,13-year-old found with alcohol at a retail store. No prior delinquency history.,drug possession matter involving under 14 juvenile in West Bengal.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re C-0832 (Child),United Kingdom,Wales,2024,Youth Court Cardiff,shoplifting,under 14,13-year-old apprehended shoplifting a mobile phone from a community center. No prior delinquency history.,shoplifting matter involving under 14 juvenile in Wales.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0739 (Youth),United Kingdom,Northern Ireland,2022,Youth Court Belfast,harassment,under 14,14-year-old sent repeated threatening messages to peer via text messages. First contact with juvenile court.,Juvenile harassment case with no prior record in Northern Ireland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0687,United Kingdom,England,2021,Youth Court Birmingham,burglary,15-17,15-year-old entered a transit station without permission and took a bicycle. First offense.,burglary incident at transit station; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0548),India,Telangana,2020,JJ Board Hyderabad,robbery,15-17,16-year-old took clothing from peer at school using implied force. First offense.,robbery incident at school; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0407),India,Haryana,2023,JJ Board Gurugram,burglary,15-17,16-year-old entered a neighbor's garage without permission and took a bicycle. One prior warning only.,Juvenile burglary case with limited history in Haryana.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re C-0622 (Child),United Kingdom,Wales,2024,Youth Court Swansea,robbery,under 14,Strong-arm robbery allegation: 13-year-old and a community center. First offense.,robbery incident at community center; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re C-0900 (Child),United Kingdom,Wales,2023,Youth Court Swansea,trespass,15-17,17-year-old entered restricted a local shop after hours. One prior warning only.,trespass matter involving 15-17 juvenile in Wales.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0440,India,Maharashtra,2022,Juvenile Justice Board Mumbai,vandalism,15-17,15-year-old damaged a bench at a public park. First offense.,vandalism incident at public park; minor in 15-17 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
Matter of Youth-0193,United States,New York,2020,Kings County Family Court,weapon possession,under 14,Security search at a transit station revealed pepper spray in 13-year-old's bag. No prior record.,weapon possession incident at transit station; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Minor 0448,India,Uttar Pradesh,2021,JJ Board Lucknow,trespass,under 14,13-year-old entered restricted a neighbor's garage after hours. No prior delinquency history.,Juvenile trespass case with no prior record in Uttar Pradesh.,Community service; probation.,https://services.ecourts.gov.in/
R v. Minor 0818,United Kingdom,Northern Ireland,2020,Youth Court Belfast,truancy,15-17,15-year-old chronically absent from a transit station; 40 unexcused days. No prior record.,Juvenile truancy case with no prior record in Northern Ireland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0371,India,Odisha,2023,JJ Board Bhubaneswar,robbery,15-17,Strong-arm robbery allegation: 15-year-old and a public park. One prior warning only.,robbery incident at public park; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
State v. Minor-0198,United States,Florida,2019,Miami-Dade Juvenile Court,harassment,under 14,Bullying complaint: 14-year-old harassed classmate at a neighbor's garage. One prior warning only.,Juvenile harassment case with limited history in Florida.,Probation 6 months; counseling.,https://www.courtlistener.com/
State v. Minor-0056,United States,Texas,2020,Harris County Juvenile Court,arson,under 14,14-year-old set fire to a bus shelter at a neighbor's garage. Minimal damage. One prior warning only.,arson matter involving under 14 juvenile in Texas.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Minor 0599,India,Rajasthan,2023,JJ Board Jaipur,shoplifting,under 14,14-year-old apprehended shoplifting electronics from a retail store. First offense.,Juvenile shoplifting case with no prior record in Rajasthan.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Y-0762 (Youth),United Kingdom,Northern Ireland,2018,Youth Court Belfast,weapon possession,15-17,Security search at a public park revealed pepper spray in 16-year-old's bag. First contact with juvenile court.,weapon possession matter involving 15-17 juvenile in Northern Ireland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0018,United States,Pennsylvania,2023,Philadelphia Family Court,theft,under 14,Theft reported: 14-year-old took school supplies belonging to another at a transit station. First contact with juvenile court.,theft matter involving under 14 juvenile in Pennsylvania.,Restitution; informal probation.,https://www.courtlistener.com/
In re J.D.-0162,United States,Florida,2020,Miami-Dade Juvenile Court,truancy,15-17,17-year-old chronically absent from a public park; 40 unexcused days. No prior record.,truancy matter involving 15-17 juvenile in Florida.,Anger management; probation 9 months.,https://www.courtlistener.com/
R v. Y-0745 (Youth),United Kingdom,England,2023,Youth Court Bristol,weapon possession,under 14,14-year-old found with a BB gun at a public park. Not used. One prior warning only.,weapon possession matter involving under 14 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0618 (Youth),United Kingdom,England,2021,Youth Court Bristol,assault,15-17,15-year-old involved in a recreation center fight causing superficial scratches to peer. No weapon.,assault incident at recreation center; minor in 15-17 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0731,United Kingdom,Scotland,2022,Sheriff Court Glasgow,truancy,under 14,Habitual truancy petition for 13-year-old failing to attend a recreation center. First contact with juvenile court.,truancy incident at recreation center; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0441),India,Punjab,2020,JJ Board Chandigarh,harassment,15-17,Bullying complaint: 17-year-old harassed classmate at a transit station. One prior warning only.,harassment matter involving 15-17 juvenile in Punjab.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0422,India,Bihar,2020,JJ Board Patna,shoplifting,15-17,16-year-old apprehended shoplifting school supplies from school. No prior delinquency history.,shoplifting matter involving 15-17 juvenile in Bihar.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Minor 0435,India,Bihar,2021,JJ Board Patna,arson,under 14,14-year-old set fire to playground equipment at school. Minimal damage. No prior delinquency history.,Juvenile arson case with no prior record in Bihar.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Child 0454,India,Maharashtra,2024,Juvenile Justice Board Mumbai,runaway,under 14,14-year-old left home and found at a recreation center. Family conflict reported. First offense.,Juvenile runaway case with no prior record in Maharashtra.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
Matter of Youth-0045,United States,Virginia,2024,Fairfax Juvenile Court,robbery,15-17,16-year-old took a mobile phone from peer at a retail store using implied force. One prior warning only.,robbery matter involving 15-17 juvenile in Virginia.,Probation 12 months; community service.,https://www.courtlistener.com/
In re J.D.-0173,United States,Massachusetts,2022,Suffolk Juvenile Court,truancy,15-17,Habitual truancy petition for 15-year-old failing to attend a neighbor's garage. One prior warning only.,truancy matter involving 15-17 juvenile in Massachusetts.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0223,United States,Virginia,2023,Fairfax Juvenile Court,robbery,under 14,14-year-old took cosmetics from peer at a local shop using verbal intimidation. First offense.,Juvenile robbery case with no prior record in Virginia.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
Matter of Youth-0076,United States,North Carolina,2024,Mecklenburg Juvenile Court,truancy,under 14,13-year-old chronically absent from a neighbor's garage; 40 unexcused days. First offense.,Juvenile truancy case with no prior record in North Carolina.,Youth education program; supervised release.,https://www.courtlistener.com/
State v. Minor-0131,United States,North Carolina,2023,Mecklenburg Juvenile Court,burglary,under 14,Break-in at school; 14-year-old suspect identified. First contact with juvenile court.,burglary incident at school; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re C-0793 (Child),United Kingdom,England,2019,Youth Court Leeds,runaway,under 14,13-year-old left home and found at a public park. Reunification assessment ordered. No prior record.,runaway matter involving under 14 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0129,United States,Washington,2018,King County Juvenile Court,burglary,15-17,17-year-old entered a retail store without permission and took sporting goods. No prior delinquency history.,burglary matter involving 15-17 juvenile in Washington.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Child 0471,India,Punjab,2021,JJ Board Chandigarh,burglary,15-17,17-year-old entered school without permission and took sporting goods. No prior record.,Juvenile burglary case with no prior record in Punjab.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
